,image_path,label_path
0,image/386097.tif,label/386097.png
1,image/232351.tif,label/232351.png
2,image/427507.tif,label/427507.png
3,image/441291.tif,label/441291.png
4,image/364583.tif,label/364583.png
5,image/158916.tif,label/158916.png
6,image/286431.tif,label/286431.png
7,image/283419.tif,label/283419.png
8,image/431934.tif,label/431934.png
9,image/48844.tif,label/48844.png
10,image/197768.tif,label/197768.png
11,image/180002.tif,label/180002.png
12,image/101777.tif,label/101777.png
13,image/243121.tif,label/243121.png
14,image/332044.tif,label/332044.png
15,image/73795.tif,label/73795.png
16,image/183774.tif,label/183774.png
17,image/217232.tif,label/217232.png
18,image/240749.tif,label/240749.png
19,image/416407.tif,label/416407.png
20,image/344364.tif,label/344364.png
21,image/222614.tif,label/222614.png
22,image/98287.tif,label/98287.png
23,image/158788.tif,label/158788.png
24,image/187396.tif,label/187396.png
25,image/324437.tif,label/324437.png
26,image/426343.tif,label/426343.png
27,image/235642.tif,label/235642.png
28,image/288090.tif,label/288090.png
29,image/245357.tif,label/245357.png
30,image/148978.tif,label/148978.png
31,image/259748.tif,label/259748.png
32,image/285471.tif,label/285471.png
33,image/389245.tif,label/389245.png
34,image/43772.tif,label/43772.png
35,image/310872.tif,label/310872.png
36,image/34180.tif,label/34180.png
37,image/236969.tif,label/236969.png
38,image/174830.tif,label/174830.png
39,image/80887.tif,label/80887.png
40,image/51518.tif,label/51518.png
41,image/92703.tif,label/92703.png
42,image/209127.tif,label/209127.png
43,image/161719.tif,label/161719.png
44,image/378618.tif,label/378618.png
45,image/313659.tif,label/313659.png
46,image/44068.tif,label/44068.png
47,image/277233.tif,label/277233.png
48,image/119648.tif,label/119648.png
49,image/407362.tif,label/407362.png
50,image/389553.tif,label/389553.png
51,image/439934.tif,label/439934.png
52,image/45623.tif,label/45623.png
53,image/125158.tif,label/125158.png
54,image/228499.tif,label/228499.png
55,image/361080.tif,label/361080.png
56,image/154931.tif,label/154931.png
57,image/82485.tif,label/82485.png
58,image/346765.tif,label/346765.png
59,image/58817.tif,label/58817.png
60,image/423519.tif,label/423519.png
61,image/188228.tif,label/188228.png
62,image/94578.tif,label/94578.png
63,image/413384.tif,label/413384.png
64,image/57895.tif,label/57895.png
65,image/204901.tif,label/204901.png
66,image/25053.tif,label/25053.png
67,image/73581.tif,label/73581.png
68,image/239597.tif,label/239597.png
69,image/100518.tif,label/100518.png
70,image/272223.tif,label/272223.png
71,image/111455.tif,label/111455.png
72,image/28807.tif,label/28807.png
73,image/137238.tif,label/137238.png
74,image/26718.tif,label/26718.png
75,image/423374.tif,label/423374.png
76,image/318912.tif,label/318912.png
77,image/66701.tif,label/66701.png
78,image/92265.tif,label/92265.png
79,image/64242.tif,label/64242.png
80,image/439110.tif,label/439110.png
81,image/172543.tif,label/172543.png
82,image/47831.tif,label/47831.png
83,image/388525.tif,label/388525.png
84,image/338470.tif,label/338470.png
85,image/296674.tif,label/296674.png
86,image/180644.tif,label/180644.png
87,image/152772.tif,label/152772.png
88,image/120283.tif,label/120283.png
89,image/228964.tif,label/228964.png
90,image/421982.tif,label/421982.png
91,image/17212.tif,label/17212.png
92,image/44333.tif,label/44333.png
93,image/125694.tif,label/125694.png
94,image/255952.tif,label/255952.png
95,image/289482.tif,label/289482.png
96,image/295339.tif,label/295339.png
97,image/319277.tif,label/319277.png
98,image/320596.tif,label/320596.png
99,image/114483.tif,label/114483.png
100,image/161736.tif,label/161736.png
101,image/429059.tif,label/429059.png
102,image/91562.tif,label/91562.png
103,image/148933.tif,label/148933.png
104,image/428163.tif,label/428163.png
105,image/2745.tif,label/2745.png
106,image/266745.tif,label/266745.png
107,image/250828.tif,label/250828.png
108,image/56323.tif,label/56323.png
109,image/278109.tif,label/278109.png
110,image/105130.tif,label/105130.png
111,image/116461.tif,label/116461.png
112,image/391488.tif,label/391488.png
113,image/235802.tif,label/235802.png
114,image/358153.tif,label/358153.png
115,image/39522.tif,label/39522.png
116,image/221179.tif,label/221179.png
117,image/33057.tif,label/33057.png
118,image/372754.tif,label/372754.png
119,image/336413.tif,label/336413.png
120,image/415347.tif,label/415347.png
121,image/233905.tif,label/233905.png
122,image/100018.tif,label/100018.png
123,image/345330.tif,label/345330.png
124,image/136413.tif,label/136413.png
125,image/90124.tif,label/90124.png
126,image/256683.tif,label/256683.png
127,image/65522.tif,label/65522.png
128,image/121387.tif,label/121387.png
129,image/343647.tif,label/343647.png
130,image/96990.tif,label/96990.png
131,image/280927.tif,label/280927.png
132,image/314016.tif,label/314016.png
133,image/397790.tif,label/397790.png
134,image/326729.tif,label/326729.png
135,image/410712.tif,label/410712.png
136,image/103282.tif,label/103282.png
137,image/340653.tif,label/340653.png
138,image/374880.tif,label/374880.png
139,image/193101.tif,label/193101.png
140,image/398386.tif,label/398386.png
141,image/46144.tif,label/46144.png
142,image/399094.tif,label/399094.png
143,image/360351.tif,label/360351.png
144,image/287331.tif,label/287331.png
145,image/248359.tif,label/248359.png
146,image/13175.tif,label/13175.png
147,image/361860.tif,label/361860.png
148,image/113599.tif,label/113599.png
149,image/84441.tif,label/84441.png
150,image/120290.tif,label/120290.png
151,image/74900.tif,label/74900.png
152,image/438340.tif,label/438340.png
153,image/241804.tif,label/241804.png
154,image/217309.tif,label/217309.png
155,image/334755.tif,label/334755.png
156,image/205537.tif,label/205537.png
157,image/140817.tif,label/140817.png
158,image/365020.tif,label/365020.png
159,image/157850.tif,label/157850.png
160,image/154663.tif,label/154663.png
161,image/8102.tif,label/8102.png
162,image/426023.tif,label/426023.png
163,image/355359.tif,label/355359.png
164,image/14471.tif,label/14471.png
165,image/215307.tif,label/215307.png
166,image/350152.tif,label/350152.png
167,image/54705.tif,label/54705.png
168,image/438807.tif,label/438807.png
169,image/39552.tif,label/39552.png
170,image/172951.tif,label/172951.png
171,image/399232.tif,label/399232.png
172,image/412018.tif,label/412018.png
173,image/202851.tif,label/202851.png
174,image/394592.tif,label/394592.png
175,image/323291.tif,label/323291.png
176,image/17784.tif,label/17784.png
177,image/174842.tif,label/174842.png
178,image/7252.tif,label/7252.png
179,image/374523.tif,label/374523.png
180,image/58001.tif,label/58001.png
181,image/345800.tif,label/345800.png
182,image/4832.tif,label/4832.png
183,image/357642.tif,label/357642.png
184,image/287722.tif,label/287722.png
185,image/56217.tif,label/56217.png
186,image/376084.tif,label/376084.png
187,image/211568.tif,label/211568.png
188,image/40241.tif,label/40241.png
189,image/263298.tif,label/263298.png
190,image/129593.tif,label/129593.png
191,image/60056.tif,label/60056.png
192,image/98600.tif,label/98600.png
193,image/365093.tif,label/365093.png
194,image/99935.tif,label/99935.png
195,image/68616.tif,label/68616.png
196,image/41525.tif,label/41525.png
197,image/296687.tif,label/296687.png
198,image/85499.tif,label/85499.png
199,image/168950.tif,label/168950.png
200,image/94525.tif,label/94525.png
201,image/313868.tif,label/313868.png
202,image/40667.tif,label/40667.png
203,image/206921.tif,label/206921.png
204,image/255482.tif,label/255482.png
205,image/120289.tif,label/120289.png
206,image/226091.tif,label/226091.png
207,image/163757.tif,label/163757.png
208,image/99844.tif,label/99844.png
209,image/438853.tif,label/438853.png
210,image/334008.tif,label/334008.png
211,image/47222.tif,label/47222.png
212,image/276210.tif,label/276210.png
213,image/241109.tif,label/241109.png
214,image/196179.tif,label/196179.png
215,image/58040.tif,label/58040.png
216,image/200043.tif,label/200043.png
217,image/251513.tif,label/251513.png
218,image/34651.tif,label/34651.png
219,image/26547.tif,label/26547.png
220,image/390019.tif,label/390019.png
221,image/209846.tif,label/209846.png
222,image/337387.tif,label/337387.png
223,image/234281.tif,label/234281.png
224,image/289811.tif,label/289811.png
225,image/213623.tif,label/213623.png
226,image/285773.tif,label/285773.png
227,image/29885.tif,label/29885.png
228,image/421585.tif,label/421585.png
229,image/364014.tif,label/364014.png
230,image/394173.tif,label/394173.png
231,image/340985.tif,label/340985.png
232,image/233783.tif,label/233783.png
233,image/72640.tif,label/72640.png
234,image/141320.tif,label/141320.png
235,image/345271.tif,label/345271.png
236,image/400432.tif,label/400432.png
237,image/98366.tif,label/98366.png
238,image/269494.tif,label/269494.png
239,image/317311.tif,label/317311.png
240,image/171667.tif,label/171667.png
241,image/34566.tif,label/34566.png
242,image/385197.tif,label/385197.png
243,image/345356.tif,label/345356.png
244,image/145592.tif,label/145592.png
245,image/373832.tif,label/373832.png
246,image/307931.tif,label/307931.png
247,image/62845.tif,label/62845.png
248,image/350361.tif,label/350361.png
249,image/331586.tif,label/331586.png
250,image/258312.tif,label/258312.png
251,image/221426.tif,label/221426.png
252,image/149210.tif,label/149210.png
253,image/334001.tif,label/334001.png
254,image/444532.tif,label/444532.png
255,image/124253.tif,label/124253.png
256,image/3377.tif,label/3377.png
257,image/283195.tif,label/283195.png
258,image/55556.tif,label/55556.png
259,image/427230.tif,label/427230.png
260,image/230740.tif,label/230740.png
261,image/234763.tif,label/234763.png
262,image/390697.tif,label/390697.png
263,image/423865.tif,label/423865.png
264,image/114850.tif,label/114850.png
265,image/24439.tif,label/24439.png
266,image/223435.tif,label/223435.png
267,image/96832.tif,label/96832.png
268,image/308714.tif,label/308714.png
269,image/113535.tif,label/113535.png
270,image/286397.tif,label/286397.png
271,image/186487.tif,label/186487.png
272,image/371383.tif,label/371383.png
273,image/47546.tif,label/47546.png
274,image/155033.tif,label/155033.png
275,image/74314.tif,label/74314.png
276,image/345547.tif,label/345547.png
277,image/344258.tif,label/344258.png
278,image/379076.tif,label/379076.png
279,image/212508.tif,label/212508.png
280,image/126335.tif,label/126335.png
281,image/313330.tif,label/313330.png
282,image/84127.tif,label/84127.png
283,image/240505.tif,label/240505.png
284,image/441956.tif,label/441956.png
285,image/177314.tif,label/177314.png
286,image/428815.tif,label/428815.png
287,image/253061.tif,label/253061.png
288,image/149594.tif,label/149594.png
289,image/241923.tif,label/241923.png
290,image/202397.tif,label/202397.png
291,image/32745.tif,label/32745.png
292,image/18204.tif,label/18204.png
293,image/3968.tif,label/3968.png
294,image/96499.tif,label/96499.png
295,image/360815.tif,label/360815.png
296,image/94886.tif,label/94886.png
297,image/39403.tif,label/39403.png
298,image/320774.tif,label/320774.png
299,image/311866.tif,label/311866.png
300,image/18262.tif,label/18262.png
301,image/86225.tif,label/86225.png
302,image/359611.tif,label/359611.png
303,image/16227.tif,label/16227.png
304,image/27383.tif,label/27383.png
305,image/351301.tif,label/351301.png
306,image/176269.tif,label/176269.png
